<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.01.03	0.99335	0.99481	0.98879	0.99308	35696	0	10
2011.01.04	0.99304	1.00334	0.99152	0.99816	47466	0	10
2011.01.05	0.99816	1.00225	0.99325	0.99641	47642	0	10
2011.01.06	0.99642	0.99931	0.99244	0.99661	43884	0	10
2011.01.07	0.99657	1.00028	0.98976	0.99336	49568	0	10
2011.01.10	0.99298	0.99832	0.99097	0.99323	43409	0	10
2011.01.11	0.99327	0.99494	0.98916	0.98975	45872	0	10
2011.01.12	0.98984	0.98987	0.98478	0.98603	46734	0	10
2011.01.13	0.98612	0.99081	0.98539	0.98927	42580	0	10
2011.01.14	0.98927	0.99762	0.98847	0.99083	44088	0	10
2011.01.17	0.98787	0.99004	0.98553	0.98734	33737	0	10
2011.01.18	0.98737	0.99333	0.98361	0.99169	52241	0	10
2011.01.19	0.99170	0.99647	0.98885	0.99552	52740	0	10
2011.01.20	0.99548	1.00295	0.99518	0.99735	60748	0	10
2011.01.21	0.99746	0.99866	0.99075	0.99301	52874	0	10
2011.01.24	0.99358	0.99805	0.99175	0.99364	43254	0	10
2011.01.25	0.99361	1.00034	0.99106	0.99697	54745	0	10
2011.01.26	0.99694	0.99800	0.99364	0.99551	50943	0	10
2011.01.27	0.99546	0.99853	0.99258	0.99486	56413	0	6
2011.01.28	0.99483	1.00158	0.99369	1.00115	53025	0	10
2011.01.31	1.00065	1.00570	0.99615	1.00058	56272	0	10
2011.02.01	1.00053	1.00062	0.98997	0.99043	53654	0	10
2011.02.02	0.99043	0.99145	0.98601	0.98847	46654	0	10
2011.02.03	0.98847	0.99202	0.98650	0.99113	45955	0	10
2011.02.04	0.99103	0.99278	0.98311	0.98713	35606	0	10
2011.02.07	0.98731	0.99105	0.98570	0.99069	30179	0	10
2011.02.08	0.99070	0.99765	0.98680	0.99491	30584	0	10
2011.02.09	0.99495	0.99545	0.99146	0.99383	31752	0	10
2011.02.10	0.99375	0.99869	0.99351	0.99593	41175	0	10
2011.02.11	0.99594	0.99853	0.98616	0.98753	30487	0	10
2011.02.14	0.98732	0.99002	0.98500	0.98899	41363	0	10
2011.02.15	0.98902	0.99020	0.98508	0.98956	40193	0	10
2011.02.16	0.98961	0.98979	0.98451	0.98519	38876	0	10
2011.02.17	0.98516	0.98583	0.98154	0.98462	33862	0	10
2011.02.18	0.98465	0.98730	0.98178	0.98661	36241	0	10
2011.02.21	0.98500	0.98713	0.98215	0.98344	33029	0	10
2011.02.22	0.98352	0.99173	0.98226	0.98999	53880	0	10
2011.02.23	0.98999	0.99578	0.98573	0.98886	50979	0	10
2011.02.24	0.98887	0.99002	0.98159	0.98274	53724	0	10
2011.02.25	0.98278	0.98299	0.97724	0.97761	43358	0	10
2011.02.28	0.97824	0.97881	0.97094	0.97146	48456	0	10
2011.03.01	0.97146	0.97548	0.96833	0.97427	49943	0	10
2011.03.02	0.97430	0.97748	0.97074	0.97280	42560	0	10
2011.03.03	0.97281	0.97519	0.97138	0.97242	43768	0	10
2011.03.04	0.97240	0.97423	0.96992	0.97327	37926	0	10
2011.03.07	0.97198	0.97424	0.96981	0.97286	40104	0	10
2011.03.08	0.97287	0.97470	0.97070	0.97085	40935	0	10
2011.03.09	0.97088	0.97146	0.96666	0.96871	38458	0	10
2011.03.10	0.96869	0.97661	0.96827	0.97514	47901	0	10
2011.03.11	0.97511	0.98005	0.97047	0.97302	49574	0	10
