<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.04.06	1.62915	1.63627	1.62565	1.63266	73421	0	15
2011.04.07	1.63267	1.63404	1.62623	1.63162	74013	0	15
2011.04.08	1.63162	1.64267	1.63135	1.63794	73799	0	15
2011.04.11	1.63727	1.64249	1.63130	1.63431	70759	0	15
2011.04.12	1.63429	1.63481	1.62268	1.62554	81135	0	15
2011.04.13	1.62555	1.63085	1.62367	1.62653	71348	0	15
2011.04.14	1.62650	1.63826	1.62530	1.63487	78001	0	15
2011.04.15	1.63448	1.63717	1.62908	1.63236	69124	0	15
2011.04.18	1.63188	1.63272	1.61661	1.62687	79111	0	15
2011.04.19	1.62689	1.63351	1.62291	1.63159	71093	0	15
2011.04.20	1.63158	1.64247	1.63084	1.63994	74362	0	15
2011.04.21	1.63994	1.65984	1.63849	1.65124	78678	0	15
2011.04.22	1.65120	1.65677	1.65021	1.65061	35908	0	15
2011.04.25	1.65169	1.65512	1.64675	1.64911	61958	0	15
2011.04.26	1.64911	1.65316	1.64311	1.64842	78444	0	15
2011.04.27	1.64840	1.66351	1.64341	1.66234	88668	0	15
2011.04.28	1.66229	1.67449	1.66211	1.66360	79971	10714850000	8
2011.04.29	1.66367	1.67208	1.66226	1.67030	57898	0	15
2011.05.02	1.67070	1.67371	1.66347	1.66463	69014	0	15
2011.05.03	1.66480	1.66599	1.64626	1.64809	80030	0	15
2011.05.04	1.64805	1.65732	1.64511	1.64905	84845	0	15
2011.05.05	1.64905	1.65429	1.63572	1.63901	87977	0	15
2011.05.06	1.63897	1.64619	1.63542	1.63618	91105	0	15
2011.05.09	1.63746	1.64061	1.62698	1.63924	90218	0	15
2011.05.10	1.63925	1.64188	1.63157	1.63687	87356	0	16
2011.05.11	1.63687	1.65154	1.63220	1.63563	78245	0	15
2011.05.12	1.63558	1.63789	1.62347	1.62855	71207	0	15
2011.05.13	1.62855	1.63075	1.61471	1.61927	54747	0	15
2011.05.16	1.61758	1.62525	1.61599	1.61972	66390	0	15
2011.05.17	1.61980	1.63008	1.61737	1.62486	55859	0	8
2011.05.18	1.62450	1.62873	1.61052	1.61672	23711	0	8
2011.05.19	1.61683	1.62424	1.61302	1.62256	22800	0	8
2011.05.20	1.62253	1.63045	1.61661	1.62285	21635	0	8
2011.05.23	1.62208	1.62324	1.60335	1.61172	24440	0	8
2011.05.24	1.61178	1.62085	1.60575	1.61807	24295	0	8
2011.05.25	1.61796	1.62928	1.61318	1.62711	42409	0	8
2011.05.26	1.62713	1.64065	1.62705	1.63875	105775	0	10
2011.05.27	1.63834	1.65118	1.63793	1.65056	91259	0	10
2011.05.30	1.64820	1.65102	1.64490	1.64725	61675	0	15
2011.05.31	1.64731	1.65461	1.64229	1.64500	77160	0	15
2011.06.01	1.64501	1.64949	1.63199	1.63208	83007	0	15
2011.06.02	1.63207	1.64170	1.63041	1.63665	76624	0	15
2011.06.03	1.63665	1.64363	1.62869	1.64237	57872	0	15
2011.06.06	1.64243	1.64592	1.63398	1.63529	67467	0	15
2011.06.07	1.63528	1.64705	1.63232	1.64365	58399	0	15
2011.06.08	1.64371	1.64454	1.63477	1.63930	56384	0	15
2011.06.09	1.63930	1.64653	1.63579	1.63694	48761	0	15
2011.06.10	1.63688	1.63817	1.62192	1.62224	49769	0	15
2011.06.13	1.62349	1.63879	1.62144	1.63744	82836	0	15
2011.06.14	1.63743	1.64409	1.63546	1.63748	79810	0	15
2011.06.15	1.63748	1.63823	1.61673	1.61780	76557	0	15
2011.06.16	1.61781	1.62239	1.60776	1.61681	96957	0	15
2011.06.17	1.61670	1.61944	1.60930	1.61613	80438	0	15
2011.06.20	1.61608	1.62339	1.61084	1.62022	85775	0	15
2011.06.21	1.62020	1.62516	1.61668	1.62366	82407	0	15
2011.06.22	1.62366	1.62610	1.60593	1.60657	89881	0	15
2011.06.23	1.60660	1.60668	1.59375	1.60159	87135	0	15
2011.06.24	1.60161	1.60451	1.59510	1.59570	81037	0	15
2011.06.27	1.59610	1.60102	1.59127	1.59858	89701	0	15
2011.06.28	1.59861	1.60413	1.59116	1.59939	86604	0	15
2011.06.29	1.59938	1.60732	1.59692	1.60622	75641	0	15
2011.06.30	1.60622	1.61176	1.59717	1.60403	82857	0	15
2011.07.01	1.60404	1.60951	1.59876	1.60681	74146	0	15
2011.07.04	1.60605	1.61391	1.60527	1.60897	73490	0	15
2011.07.05	1.60902	1.61270	1.59897	1.60612	83303	0	15
2011.07.06	1.60617	1.60899	1.59473	1.60011	81029	0	15
2011.07.07	1.60011	1.60169	1.59460	1.59671	78315	0	15
2011.07.08	1.59678	1.60766	1.59307	1.60568	82625	0	15
2011.07.11	1.60299	1.60412	1.58815	1.59074	93229	0	15
2011.07.12	1.59074	1.59469	1.57807	1.59330	105476	0	15
2011.07.13	1.59331	1.61710	1.59078	1.61710	99334	0	15
2011.07.14	1.61713	1.61925	1.60941	1.61416	94144	0	15
2011.07.15	1.61430	1.61741	1.60760	1.61322	86552	0	15
2011.07.18	1.61174	1.61342	1.60047	1.60480	121810	0	10
2011.07.19	1.60479	1.61769	1.60441	1.61244	99119	0	10
2011.07.20	1.61244	1.61658	1.60684	1.61518	82187	0	12
2011.07.21	1.61511	1.63383	1.61209	1.63170	85239	0	11
2011.07.22	1.63159	1.63260	1.62642	1.62973	76471	0	12
2011.07.25	1.63304	1.63309	1.62613	1.62809	78859	0	15
2011.07.26	1.62805	1.64278	1.62651	1.64193	82229	0	15
2011.07.27	1.64193	1.64380	1.63076	1.63303	76406	3540720000	10
2011.07.28	1.63305	1.63825	1.62945	1.63695	75720	12565052000	8
2011.07.29	1.63694	1.64695	1.62609	1.64192	86046	0	10
2011.08.01	1.63904	1.64745	1.62372	1.63062	92079	0	15
2011.08.02	1.63067	1.63284	1.62233	1.62819	92488	0	10
2011.08.03	1.62816	1.64381	1.62505	1.64372	90129	0	15
2011.08.04	1.64365	1.64376	1.62410	1.62591	93855	21883369000	8
2011.08.05	1.62591	1.63952	1.62275	1.63890	105286	0	10
2011.08.08	1.64539	1.64704	1.62974	1.63096	117141	0	15
2011.08.09	1.63098	1.64088	1.61759	1.63271	129938	0	15
2011.08.10	1.63281	1.63297	1.61228	1.61304	110374	0	9
2011.08.11	1.61304	1.62417	1.61101	1.62331	114881	0	15
2011.08.12	1.62331	1.63118	1.61658	1.62748	95944	0	12
2011.08.15	1.62865	1.64086	1.62546	1.63854	90652	0	15
2011.08.16	1.63851	1.64753	1.63230	1.64492	93178	0	15
2011.08.17	1.64490	1.65898	1.63520	1.65392	93314	0	10
2011.08.18	1.65394	1.65530	1.64225	1.65024	97548	0	15
2011.08.19	1.65024	1.66174	1.64447	1.64624	100032	0	12
2011.08.22	1.64724	1.65195	1.64354	1.64603	90484	0	15
2011.08.23	1.64604	1.65700	1.64535	1.64912	91415	0	15
2011.08.24	1.64908	1.65330	1.63562	1.63590	87032	0	4
2011.08.25	1.63600	1.63964	1.62616	1.62815	80901	0	15
2011.08.26	1.62815	1.63779	1.62078	1.63667	87140	0	15
2011.08.29	1.63396	1.64339	1.63344	1.64123	74122	16196281001	8
2011.08.30	1.64122	1.64187	1.62547	1.63047	82486	77119163000	8
2011.08.31	1.63047	1.63336	1.62306	1.62477	83377	70898166000	8
2011.09.01	1.62477	1.62548	1.61314	1.61860	86644	0	15
2011.09.02	1.61860	1.62517	1.61720	1.62148	83324	0	15
2011.09.05	1.61707	1.61852	1.60614	1.60985	89364	0	15
2011.09.06	1.60986	1.61752	1.59210	1.59452	103814	0	15
2011.09.07	1.59452	1.60369	1.59166	1.59823	99082	0	15
