<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.02.24	0.99203	0.99487	0.98762	0.99236	79851	469000000	22
2011.02.25	0.99234	0.99677	0.99122	0.99467	64099	58000000	27
2011.02.28	0.99326	0.99591	0.98824	0.98883	68980	112000000	26
2011.03.01	0.98885	0.99127	0.98521	0.98656	73014	224500000	26
2011.03.02	0.98665	0.98955	0.98372	0.98820	70119	5308500000	13
2011.03.03	0.98820	0.99154	0.98332	0.98435	63925	81000000	24
2011.03.04	0.98435	0.98664	0.97925	0.98644	54702	147000000	15
2011.03.07	0.98639	0.98801	0.98257	0.98416	61878	1000000	30
2011.03.08	0.98417	0.98602	0.97851	0.98004	60902	150000000	21
2011.03.09	0.98006	0.98094	0.97698	0.97863	65988	103500000	26
2011.03.10	0.97861	0.97979	0.97214	0.97650	74024	340000000	26
2011.03.11	0.97647	0.98726	0.97201	0.98623	74143	295000000	26
2011.03.14	0.98317	0.98514	0.97780	0.98333	66516	2000000	34
2011.03.15	0.98335	0.98346	0.97114	0.97465	100390	247000000	27
2011.03.16	0.97466	0.97872	0.96286	0.97133	97504	125000000	18
2011.03.17	0.97139	0.97541	0.96398	0.96433	91833	374000000	27
2011.03.18	0.96434	0.98296	0.96385	0.98015	77662	427000000	24
2011.03.21	0.98000	0.98491	0.97919	0.98479	69330	68000000	29
2011.03.22	0.98480	0.99168	0.98173	0.98940	71424	72000000	23
2011.03.23	0.98937	0.99503	0.98865	0.99300	79256	122000000	27
2011.03.24	0.99300	0.99871	0.99134	0.99613	78854	267000000	27
2011.03.25	0.99610	1.00734	0.99437	1.00563	71239	451000000	27
2011.03.28	1.00573	1.01161	1.00005	1.00172	64751	52000000	50
2011.03.29	1.00173	1.00334	0.99697	1.00199	67578	62000000	27
2011.03.30	1.00197	1.00526	0.99880	1.00242	72377	750000000	23
2011.03.31	1.00243	1.00646	1.00088	1.00159	66980	352000000	27
2011.04.01	1.00176	1.00374	0.99737	0.99999	65346	261000000	22
2011.04.04	1.00178	1.00274	0.99847	1.00161	53069	0	50
2011.04.05	1.00160	1.00234	0.99433	0.99474	53519	179000000	20
2011.04.06	0.99468	1.00282	0.99376	1.00196	54028	129000000	27
2011.04.07	1.00202	1.00807	1.00022	1.00335	59055	262500000	27
2011.04.08	1.00332	1.01153	1.00189	1.00892	56919	177000000	26
2011.04.11	1.00779	1.01056	1.00260	1.00315	51178	0	50
2011.04.12	1.00316	1.01024	1.00006	1.00493	67335	0	50
2011.04.13	1.00497	1.01409	1.00407	1.01041	60187	919000000	19
2011.04.14	1.01040	1.01507	1.00818	1.01228	63732	38000000	27
2011.04.15	1.01230	1.01722	1.01143	1.01333	53736	189000000	27
2011.04.18	1.01196	1.01777	1.01095	1.01207	64656	85000000	25
2011.04.19	1.01210	1.01297	1.00345	1.00623	59697	57000000	32
2011.04.20	1.00626	1.02115	1.00518	1.01890	59404	108500000	13
2011.04.21	1.01890	1.02486	1.01660	1.02374	65092	459500000	22
2011.04.22	1.02374	1.02544	1.02080	1.02378	17730	23000000	34
2011.04.25	1.02473	1.02652	1.02017	1.02323	53394	20000000	34
2011.04.26	1.02324	1.02710	1.01880	1.02584	65193	152000000	50
2011.04.27	1.02590	1.03399	1.02518	1.03151	73683	18000000	50
2011.04.28	1.03169	1.03922	1.03151	1.03858	71051	10862000000	19
2011.04.29	1.03848	1.04422	1.03548	1.03637	59799	238000000	27
2011.05.02	1.03691	1.04406	1.03419	1.03973	69514	0	50
