<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.01.26	6.60813	6.61989	6.60721	6.60976	11547	3666500000	0
2016.01.27	6.61052	6.61900	6.60495	6.61603	13834	3827500000	0
2016.01.28	6.61037	6.61700	6.60856	6.61215	7999	3999500000	39
2016.01.29	6.61663	6.63122	6.59080	6.59340	13920	6960000000	39
2016.02.01	6.60641	6.62000	6.59551	6.61844	8235	4117500000	59
2016.02.02	6.61596	6.62980	6.61317	6.62470	8051	4025500000	39
2016.02.03	6.62471	6.65070	6.59751	6.60887	18165	9082500000	60
2016.02.04	6.61297	6.61836	6.56202	6.57390	16572	8091000000	39
2016.02.05	6.57421	6.58390	6.55722	6.56644	18749	8364500000	0
2016.02.08	6.57377	6.58306	6.56719	6.57073	6359	2302500000	0
2016.02.09	6.57117	6.58167	6.56118	6.56283	6848	2443500000	0
2016.02.10	6.56436	6.56717	6.52618	6.54355	9568	3940500000	0
2016.02.11	6.54497	6.54906	6.52575	6.52770	13796	5383500000	0
2016.02.12	6.52835	6.54805	6.49841	6.50564	15401	6154000000	0
2016.02.15	6.51052	6.53470	6.48600	6.49653	14897	6155000000	0
2016.02.16	6.49846	6.52580	6.49673	6.51670	16164	5986500000	0
2016.02.17	6.51708	6.53776	6.51641	6.52270	13462	5530500000	0
2016.02.18	6.52356	6.53087	6.51527	6.52061	12346	3863000000	0
2016.02.19	6.52177	6.52870	6.51978	6.52110	12127	4207000000	0
2016.02.22	6.52838	6.52948	6.52029	6.52690	8473	3012500000	0
2016.02.23	6.52712	6.53731	6.52463	6.53270	12302	4208500000	0
2016.02.24	6.53445	6.54323	6.53098	6.53327	11997	4852000000	0
2016.02.25	6.53549	6.54523	6.53130	6.53220	12313	5013500000	0
2016.02.26	6.53415	6.54759	6.53081	6.54220	13822	4627000000	0
2016.02.29	6.54387	6.55895	6.54280	6.55063	13826	5542500000	0
2016.03.01	6.55105	6.55521	6.53967	6.54657	11739	4684500000	0
2016.03.02	6.54840	6.55565	6.54578	6.54629	9756	3712000000	0
2016.03.03	6.54777	6.54857	6.51837	6.52041	11089	4431000000	0
