<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.03.24	1.40991	1.42189	1.40534	1.41802	69038	0	9
2011.03.25	1.41798	1.41930	1.40548	1.40868	64533	0	9
2011.03.28	1.40463	1.41149	1.40204	1.40819	59764	0	8
2011.03.29	1.40825	1.41484	1.40469	1.41084	61395	0	7
2011.03.30	1.41082	1.41464	1.40516	1.41253	68572	0	8
2011.03.31	1.41253	1.42319	1.41157	1.41736	70342	0	8
2011.04.01	1.41733	1.42448	1.40614	1.42344	66888	0	7
2011.04.04	1.42312	1.42677	1.41925	1.42177	60730	0	7
2011.04.05	1.42177	1.42445	1.41511	1.42183	60321	0	6
2011.04.06	1.42184	1.43483	1.42170	1.43299	65951	0	8
2011.04.07	1.43298	1.43355	1.42424	1.43037	69292	0	7
2011.04.08	1.43037	1.44869	1.42908	1.44823	68944	0	8
2011.04.11	1.44530	1.44825	1.44205	1.44313	60639	0	7
2011.04.12	1.44316	1.45183	1.43770	1.44774	76607	0	8
2011.04.13	1.44782	1.45193	1.44130	1.44404	71254	0	8
2011.04.14	1.44404	1.45141	1.43647	1.44860	73134	0	8
2011.04.15	1.44858	1.45029	1.43905	1.44285	66841	0	8
2011.04.18	1.44162	1.44199	1.41574	1.42273	76174	0	8
2011.04.19	1.42273	1.43520	1.42051	1.43307	70718	0	7
2011.04.20	1.43310	1.45437	1.43278	1.45211	75032	0	8
2011.04.21	1.45213	1.46478	1.45050	1.45501	70127	0	8
2011.04.22	1.45499	1.45873	1.45339	1.45597	33966	0	10
2011.04.25	1.45604	1.46259	1.45251	1.45784	55412	0	8
2011.04.26	1.45785	1.46559	1.44929	1.46467	64063	0	9
2011.04.27	1.46468	1.47946	1.46321	1.47711	71297	0	7
2011.04.28	1.47710	1.48809	1.47705	1.48232	71480	14575658000	8
2011.04.29	1.48231	1.48772	1.48034	1.48062	49280	0	8
2011.05.02	1.48249	1.49012	1.47632	1.48218	65803	0	7
2011.05.03	1.48225	1.48885	1.47542	1.48205	67531	0	9
2011.05.04	1.48205	1.49385	1.47748	1.48285	73499	0	9
2011.05.05	1.48280	1.48989	1.45096	1.45409	79035	0	10
2011.05.06	1.45411	1.45873	1.43117	1.43149	89714	0	10
2011.05.09	1.43656	1.44407	1.42548	1.43567	87290	0	9
2011.05.10	1.43566	1.44118	1.42700	1.44101	88979	0	9
2011.05.11	1.44102	1.44224	1.41720	1.41997	76054	0	8
2011.05.12	1.41993	1.42760	1.41229	1.42402	68235	0	8
2011.05.13	1.42405	1.43388	1.40672	1.41170	56326	0	9
2011.05.16	1.40753	1.42437	1.40478	1.41604	66876	0	7
2011.05.17	1.41605	1.42379	1.41202	1.42354	61456	0	8
2011.05.18	1.42351	1.42862	1.41946	1.42504	35193	0	8
2011.05.19	1.42499	1.43246	1.42058	1.43080	36135	0	8
2011.05.20	1.43077	1.43451	1.41321	1.41573	35440	0	8
2011.05.23	1.41318	1.41429	1.39692	1.40465	40286	0	8
2011.05.24	1.40476	1.41327	1.40020	1.41022	38134	0	8
2011.05.25	1.41023	1.41177	1.40130	1.40814	52747	0	8
2011.05.26	1.40815	1.42062	1.40674	1.41347	121309	0	8
2011.05.27	1.41346	1.43216	1.41242	1.43173	93816	0	8
2011.05.30	1.43099	1.43099	1.42567	1.42857	56185	0	7
2011.05.31	1.42854	1.44236	1.42844	1.43945	76025	0	8
2011.06.01	1.43947	1.44579	1.43075	1.43294	80961	0	8
2011.06.02	1.43291	1.45121	1.43239	1.44906	72620	0	7
2011.06.03	1.44907	1.46420	1.44524	1.46327	56239	0	8
2011.06.06	1.46269	1.46571	1.45570	1.45777	69705	0	8
2011.06.07	1.45773	1.46955	1.45634	1.46871	60283	0	8
2011.06.08	1.46872	1.46932	1.45640	1.45775	57299	0	8
2011.06.09	1.45776	1.46455	1.44775	1.45118	47895	0	8
2011.06.10	1.45127	1.45501	1.43223	1.43458	48621	0	6
2011.06.13	1.43270	1.44295	1.43208	1.44157	81129	0	8
2011.06.14	1.44160	1.44971	1.43785	1.44425	74697	0	8
2011.06.15	1.44427	1.44506	1.41560	1.41622	75794	0	7
2011.06.16	1.41628	1.42184	1.40731	1.42149	98789	0	8
2011.06.17	1.42147	1.43382	1.41274	1.42858	83098	0	8
2011.06.20	1.42747	1.43265	1.41910	1.43078	80630	0	8
2011.06.21	1.43077	1.44315	1.43067	1.43977	80988	0	7
2011.06.22	1.43978	1.44407	1.43320	1.43350	83539	0	8
2011.06.23	1.43358	1.43372	1.41265	1.42634	82159	0	6
2011.06.24	1.42637	1.43055	1.41416	1.41865	78903	0	6
2011.06.27	1.41875	1.42924	1.41023	1.42872	82561	0	7
2011.06.28	1.42870	1.43959	1.42366	1.43672	79870	0	7
2011.06.29	1.43668	1.44466	1.43380	1.44342	70381	0	6
2011.06.30	1.44342	1.45364	1.44268	1.44906	73936	0	7
2011.07.01	1.44908	1.45501	1.44359	1.45246	67242	0	7
2011.07.04	1.45366	1.45769	1.44953	1.45388	61750	0	5
2011.07.05	1.45391	1.45530	1.44025	1.44231	76518	0	6
2011.07.06	1.44230	1.44657	1.42858	1.43158	76199	0	7
2011.07.07	1.43157	1.43733	1.42214	1.43577	73025	0	6
2011.07.08	1.43578	1.43679	1.42059	1.42632	79165	0	7
2011.07.11	1.42236	1.42266	1.39858	1.40469	91629	0	7
2011.07.12	1.40465	1.40607	1.38371	1.39710	108622	0	7
2011.07.13	1.39712	1.42380	1.39512	1.42380	99713	0	7
2011.07.14	1.42382	1.42808	1.41156	1.41454	96044	0	7
2011.07.15	1.41454	1.41979	1.40919	1.41566	78557	0	7
2011.07.18	1.41208	1.41339	1.40138	1.41035	155099	0	8
2011.07.19	1.41035	1.42160	1.40687	1.41537	110672	0	7
2011.07.20	1.41533	1.42391	1.41331	1.42208	72833	0	7
2011.07.21	1.42202	1.44375	1.41388	1.44193	88744	0	7
2011.07.22	1.44193	1.44369	1.43241	1.43580	73399	0	7
2011.07.25	1.43997	1.44060	1.43247	1.43772	74980	0	5
2011.07.26	1.43768	1.45244	1.43571	1.45137	78968	0	6
2011.07.27	1.45134	1.45350	1.43390	1.43674	76808	7081862000	6
2011.07.28	1.43674	1.43999	1.42544	1.43273	88495	34997499000	7
2011.07.29	1.43273	1.44128	1.42293	1.43945	82935	0	7
2011.08.01	1.43607	1.44526	1.41843	1.42533	86600	0	7
2011.08.02	1.42535	1.42822	1.41510	1.41919	86356	0	7
2011.08.03	1.41903	1.43660	1.41425	1.43630	88352	0	7
2011.08.04	1.43631	1.43671	1.40862	1.40920	106316	46180586000	8
2011.08.05	1.40921	1.42972	1.40553	1.42804	108678	0	7
2011.08.08	1.43705	1.44006	1.41303	1.41628	119420	0	7
2011.08.09	1.41630	1.43967	1.41521	1.43910	129294	0	6
2011.08.10	1.43910	1.44006	1.41608	1.41615	107593	0	4
2011.08.11	1.41614	1.42912	1.41039	1.42353	118172	0	8
2011.08.12	1.42357	1.42899	1.41495	1.42479	93555	0	4
2011.08.15	1.42639	1.44748	1.42635	1.44482	88724	0	6
2011.08.16	1.44483	1.44709	1.43538	1.43988	95147	0	6
2011.08.17	1.43990	1.45167	1.43250	1.44250	92149	0	6
2011.08.18	1.44244	1.44508	1.42711	1.43223	93938	0	6
2011.08.19	1.43221	1.44507	1.42585	1.43950	97672	0	7
2011.08.22	1.43735	1.44339	1.43470	1.43571	85245	0	6
2011.08.23	1.43570	1.44987	1.43527	1.44346	85962	0	6
2011.08.24	1.44347	1.44806	1.43798	1.44081	84902	0	4
2011.08.25	1.44080	1.44738	1.43283	1.43709	79829	0	7
2011.08.26	1.43710	1.45008	1.43291	1.44984	82280	0	6
2011.08.29	1.44916	1.45482	1.44657	1.45228	75191	30329667000	7
2011.08.30	1.45228	1.45328	1.43841	1.44308	96072	122467509000	8
2011.08.31	1.44308	1.44688	1.43584	1.43725	93216	98660437316	8
2011.09.01	1.43725	1.43767	1.42262	1.42615	83686	0	6
2011.09.02	1.42614	1.42870	1.41839	1.42037	80132	0	6
2011.09.05	1.41571	1.41726	1.40584	1.40636	82639	0	7
