<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.04.12	84.657	84.776	83.464	83.555	70259	0	9
2011.04.13	83.555	84.258	83.498	83.925	61719	0	9
2011.04.14	83.917	83.917	82.957	83.486	65328	0	10
2011.04.15	83.488	83.770	82.958	83.114	52896	0	9
2011.04.18	83.130	83.251	82.181	82.486	58627	0	9
2011.04.19	82.498	82.744	82.315	82.564	54524	0	9
2011.04.20	82.568	83.093	82.263	82.540	55855	0	9
2011.04.21	82.540	82.563	81.617	81.880	52724	0	9
2011.04.22	81.880	82.102	81.661	81.841	26164	0	10
2011.04.25	81.814	82.418	81.658	81.811	42000	0	10
2011.04.26	81.809	81.968	81.483	81.593	47369	0	9
2011.04.27	81.594	82.761	81.264	82.257	57335	0	9
2011.04.28	82.232	82.267	81.399	81.543	55067	9620929000	6
2011.04.29	81.543	81.644	81.032	81.181	32047	0	9
2011.05.02	81.099	81.682	80.996	81.253	48275	0	10
2011.05.03	81.247	81.263	80.694	80.958	41049	0	10
2011.05.04	80.960	81.188	80.431	80.633	42579	0	9
2011.05.05	80.637	80.686	79.582	80.325	55641	0	9
2011.05.06	80.310	80.915	80.200	80.610	67521	0	9
2011.05.09	80.678	80.831	80.175	80.266	59687	0	10
2011.05.10	80.263	80.890	80.155	80.857	68289	0	10
2011.05.11	80.855	81.312	80.614	81.144	64124	0	9
2011.05.12	81.146	81.324	80.705	80.989	51869	0	9
2011.05.13	80.988	81.081	80.367	80.758	42347	0	10
2011.05.16	80.839	81.055	80.626	80.851	45692	0	9
2011.05.17	80.851	81.761	80.731	81.422	42905	0	7
2011.05.18	81.407	81.738	80.938	81.671	18123	0	6
2011.05.19	81.674	82.229	81.468	81.672	18408	0	6
2011.05.20	81.653	81.860	81.478	81.687	15460	0	6
2011.05.23	81.750	82.038	81.318	81.935	19166	0	6
2011.05.24	81.934	82.210	81.610	82.003	16362	0	6
2011.05.25	81.997	82.168	81.790	82.034	31401	0	6
2011.05.26	82.032	82.075	81.147	81.367	64227	0	7
2011.05.27	81.355	81.367	80.703	80.762	58088	0	10
2011.05.30	80.806	80.975	80.750	80.940	42654	0	10
2011.05.31	80.943	81.763	80.707	81.499	61240	0	9
2011.06.01	81.493	81.494	80.682	80.868	61937	0	9
2011.06.02	80.865	81.306	80.563	80.955	59540	0	9
2011.06.03	80.951	81.001	80.055	80.263	43750	0	9
2011.06.06	80.240	80.386	79.983	80.105	50142	0	9
2011.06.07	80.107	80.326	79.981	80.112	43178	0	9
2011.06.08	80.111	80.267	79.694	79.906	46800	0	10
2011.06.09	79.909	80.413	79.831	80.364	39563	0	9
2011.06.10	80.364	80.450	79.964	80.305	37761	0	9
2011.06.13	80.292	80.681	80.111	80.210	58080	0	10
2011.06.14	80.211	80.616	80.085	80.520	55793	0	10
2011.06.15	80.522	81.047	80.375	80.963	54142	0	9
2011.06.16	80.963	81.023	80.481	80.602	70567	0	10
2011.06.17	80.601	80.665	80.021	80.045	55596	0	9
2011.06.20	80.120	80.359	80.020	80.267	52100	0	9
2011.06.21	80.268	80.325	80.045	80.240	45389	0	9
2011.06.22	80.238	80.373	80.009	80.320	48738	0	9
2011.06.23	80.310	80.787	80.300	80.407	55128	0	9
2011.06.24	80.406	80.597	80.134	80.406	49338	0	9
2011.06.27	80.411	80.971	80.409	80.900	48609	0	9
2011.06.28	80.903	81.258	80.660	81.032	46793	0	9
2011.06.29	81.032	81.182	80.566	80.790	41479	0	9
2011.06.30	80.792	80.844	80.255	80.558	48281	0	10
2011.07.01	80.558	81.135	80.521	80.819	40093	0	9
2011.07.04	80.802	80.889	80.532	80.736	41772	0	9
2011.07.05	80.736	81.183	80.699	81.081	45928	0	9
2011.07.06	81.078	81.112	80.764	80.932	43195	0	9
2011.07.07	80.935	81.405	80.784	81.223	40764	0	9
2011.07.08	81.222	81.467	80.495	80.592	44231	0	10
2011.07.11	80.540	80.827	80.100	80.233	47987	0	9
2011.07.12	80.228	80.363	78.522	79.143	64475	0	10
2011.07.13	79.145	79.567	78.649	78.672	58224	0	9
2011.07.14	78.669	79.576	78.463	79.145	52452	0	9
2011.07.15	79.127	79.271	78.890	79.121	35633	0	9
2011.07.18	79.078	79.174	78.944	79.055	41705	0	7
2011.07.19	79.053	79.263	78.820	79.157	40099	0	7
