<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.01.03	1.02218	1.02229	1.01488	1.01574	42382	0	15
2011.01.04	1.01581	1.01694	1.00280	1.00548	58123	0	15
2011.01.05	1.00550	1.00745	0.99597	0.99925	63809	0	15
2011.01.06	0.99926	1.00137	0.99272	0.99439	54898	0	15
2011.01.07	0.99431	0.99914	0.99070	0.99556	62558	0	15
2011.01.10	0.99451	0.99809	0.98824	0.99321	57884	0	15
2011.01.11	0.99331	0.99480	0.98031	0.98170	68076	0	15
2011.01.12	0.98170	0.99651	0.98094	0.99564	63829	0	15
2011.01.13	0.99564	1.00191	0.99199	0.99869	61228	0	15
2011.01.14	0.99865	0.99917	0.98557	0.98851	59106	0	15
2011.01.17	0.99009	0.99669	0.98618	0.99293	45960	0	15
2011.01.18	0.99292	1.00043	0.98966	0.99840	64068	0	15
2011.01.19	0.99838	1.00759	0.99611	0.99757	67331	0	15
2011.01.20	0.99756	0.99831	0.98316	0.98634	75512	0	15
2011.01.21	0.98631	0.99171	0.98390	0.98961	66854	0	15
2011.01.24	0.98850	1.00205	0.98624	0.99676	60050	0	15
2011.01.25	0.99686	0.99920	0.98893	0.99597	71655	0	15
2011.01.26	0.99600	0.99970	0.99297	0.99771	61508	0	15
2011.01.27	0.99771	0.99996	0.98765	0.99110	68113	0	15
2011.01.28	0.99114	0.99851	0.98828	0.99386	66904	0	14
2011.01.31	0.98913	0.99884	0.98657	0.99641	66523	0	15
2011.02.01	0.99645	1.01476	0.99637	1.01041	70850	0	15
2011.02.02	1.01043	1.01323	1.00550	1.00920	57527	0	15
2011.02.03	1.00925	1.01614	1.00831	1.01504	60907	0	15
2011.02.04	1.01506	1.01981	1.01105	1.01356	39311	0	15
2011.02.07	1.01335	1.01603	1.01032	1.01315	37139	0	15
2011.02.08	1.01335	1.01886	1.01135	1.01414	34518	0	15
2011.02.09	1.01415	1.01507	1.00878	1.01100	35713	0	15
2011.02.10	1.01100	1.01317	1.00046	1.00054	52654	0	15
2011.02.11	1.00056	1.00312	0.99604	1.00190	37695	0	15
2011.02.14	1.00105	1.00732	1.00023	1.00278	48859	0	15
2011.02.15	1.00268	1.00566	0.99430	0.99660	48467	0	15
2011.02.16	0.99649	1.00547	0.99641	1.00213	52675	0	15
2011.02.17	1.00210	1.01285	1.00180	1.01086	42820	0	15
2011.02.18	1.01080	1.01565	1.00882	1.01438	43633	0	15
2011.02.21	1.01431	1.01500	1.00715	1.00800	38049	0	15
2011.02.22	1.00803	1.00861	0.99658	0.99893	67180	0	15
2011.02.23	0.99893	1.00583	0.99817	1.00332	63964	0	15
2011.02.24	1.00331	1.01225	1.00014	1.00985	68739	0	15
2011.02.25	1.00983	1.01768	1.00914	1.01747	55666	0	15
2011.02.28	1.01533	1.01917	1.01190	1.01800	59002	0	15
2011.03.01	1.01805	1.02005	1.01216	1.01271	59746	0	15
2011.03.02	1.01275	1.01813	1.00849	1.01597	56239	0	15
2011.03.03	1.01603	1.01867	1.01127	1.01241	53470	0	15
2011.03.04	1.01240	1.01486	1.00751	1.01363	45971	0	10
2011.03.07	1.01493	1.01838	1.00908	1.01174	51813	0	15
2011.03.08	1.01174	1.01332	1.00532	1.00959	55388	0	15
2011.03.09	1.00961	1.01309	1.00592	1.01036	55094	0	15
2011.03.10	1.01036	1.01161	0.99895	1.00149	65714	0	11
2011.03.11	1.00145	1.01572	0.99681	1.01364	63578	0	15
2011.03.14	1.00977	1.01155	1.00466	1.01010	61609	0	15
2011.03.15	1.01015	1.01029	0.98153	0.98913	88776	0	15
2011.03.16	0.98914	0.99622	0.97044	0.97851	87133	0	15
2011.03.17	0.97848	0.98724	0.97577	0.97854	81876	0	15
2011.03.18	0.97854	0.99777	0.97801	0.99616	65304	0	15
2011.03.21	0.99559	1.00687	0.99507	1.00576	54856	0	15
2011.03.22	1.00578	1.01275	1.00361	1.00909	50236	0	15
2011.03.23	1.00905	1.01549	1.00631	1.01274	56807	0	15
2011.03.24	1.01273	1.02271	1.01123	1.02088	55166	0	15
2011.03.25	1.02084	1.02931	1.01855	1.02575	50876	0	15
2011.03.28	1.02459	1.03135	1.02324	1.02422	50205	0	15
2011.03.29	1.02428	1.02948	1.02039	1.02854	50025	0	15
2011.03.30	1.02855	1.03360	1.02684	1.03190	52324	0	15
2011.03.31	1.03190	1.03718	1.03092	1.03302	52943	0	15
2011.04.01	1.03299	1.03941	1.03124	1.03829	51747	0	15
2011.04.04	1.03891	1.04153	1.03355	1.03633	43708	0	15
2011.04.05	1.03630	1.03681	1.02876	1.03206	47562	0	15
2011.04.06	1.03206	1.04499	1.03139	1.04365	49739	0	15
2011.04.07	1.04363	1.05066	1.04113	1.04659	55203	0	15
2011.04.08	1.04657	1.05811	1.04514	1.05622	51849	0	15
2011.04.11	1.05528	1.05802	1.04831	1.04910	45974	0	15
2011.04.12	1.04916	1.05216	1.03889	1.04399	61486	0	15
2011.04.13	1.04404	1.05374	1.04275	1.04977	53350	0	15
2011.04.14	1.04973	1.05484	1.04564	1.05378	57709	0	15
2011.04.15	1.05377	1.05772	1.05104	1.05659	49444	0	15
2011.04.18	1.05541	1.05721	1.04537	1.04971	55807	0	15
2011.04.19	1.04973	1.05329	1.04425	1.05234	53841	0	15
2011.04.20	1.05236	1.07173	1.05177	1.06976	52446	0	15
2011.04.21	1.06973	1.07738	1.06757	1.07474	51427	0	15
2011.04.22	1.07478	1.07546	1.07197	1.07348	17307	0	15
2011.04.25	1.07577	1.07739	1.06837	1.07240	40988	0	15
2011.04.26	1.07240	1.07955	1.06759	1.07889	51318	0	15
2011.04.27	1.07888	1.08773	1.07786	1.08535	57327	0	15
2011.04.28	1.08561	1.09458	1.08503	1.09268	55625	9783780000	12
2011.04.29	1.09257	1.09763	1.08806	1.09688	43225	0	15
2011.05.02	1.09716	1.10109	1.09206	1.09383	53099	0	15
2011.05.03	1.09376	1.09509	1.08301	1.08324	64911	0	15
2011.05.04	1.08323	1.08761	1.07246	1.07267	67871	0	15
2011.05.05	1.07296	1.07693	1.05360	1.06009	73412	0	15
